Density Total;Richness Total;Density;Richness
281;70;244,870,632;184,509,804
266;67;2,424,881,637;1,826,074,803
254;65;2,404,833,717;1,812,913,357
218;61;2,338,456,494;1,785,329,835
208;62;2,318,063,335;1,792,391,689
185;58;2,267,171,728;1,763,427,994
150;52;2,176,091,259;1,716,003,344
90;40;1,954,242,509;1,602,059,991
70;35;184,509,804;1,544,068,044
58;31;1,763,427,994;1,491,361,694
27;20;1,431,363,764;1,301,029,996
14;14;1,146,128,036;1,146,128,036
13;13;1,113,943,352;1,113,943,352
4;4;0,602059991;0,602059991
6;4;0,77815125;0,602059991
31;16;1,491,361,694;1,204,119,983
34;17;1,531,478,917;1,230,448,921
70;27;184,509,804;1,431,363,764
71;27;1,851,258,349;1,431,363,764
73;27;186,332,286;1,431,363,764
79;28;1,897,627,091;1,447,158,031
94;31;1,973,127,854;1,491,361,694
115;35;206,069,784;1,544,068,044
112;34;2,049,218,023;1,531,478,917
92;31;1,963,787,827;1,491,361,694
73;26;186,332,286;1,414,973,348
66;27;1,819,543,936;1,431,363,764
53;24;172,427,587;1,380,211,242
70;30;184,509,804;1,477,121,255
71;31;1,851,258,349;1,491,361,694
129;47;211,058,971;1,672,097,858
146;50;2,164,352,856;1,698,970,004
179;61;2,252,853,031;1,785,329,835
191;62;2,281,033,367;1,792,391,689
209;61;2,320,146,286;1,785,329,835
275;69;2,439,332,694;1,838,849,091
302;71;2,480,006,943;1,851,258,349
320;73;2,505,149,978;186,332,286
345;78;2,537,819,095;1,892,094,603
388;78;2,588,831,726;1,892,094,603
367;75;2,564,666,064;1,875,061,263
326;72;25,132,176;1,857,332,496
301;69;2,478,566,496;1,838,849,091
248;67;2,394,451,681;1,826,074,803
148;50;2,170,261,715;1,698,970,004
98;42;1,991,226,076;162,324,929
76;34;1,880,813,592;1,531,478,917
61;32;1,785,329,835;1,505,149,978
33;24;151,851,394;1,380,211,242
14;14;1,146,128,036;1,146,128,036
13;13;1,113,943,352;1,113,943,352
4;4;0,602059991;0,602059991
10;6;1;0,77815125
34;17;1,531,478,917;1,230,448,921
45;18;1,653,212,514;1,255,272,505
70;27;184,509,804;1,431,363,764
79;28;1,897,627,091;1,447,158,031
79;28;1,897,627,091;1,447,158,031
83;30;1,919,078,092;1,477,121,255
97;31;1,986,771,734;1,491,361,694
130;37;2,113,943,352;1,568,201,724
130;37;2,113,943,352;1,568,201,724
134;37;2,127,104,798;1,568,201,724
82;31;1,913,813,852;1,491,361,694
73;28;186,332,286;1,447,158,031
70;27;184,509,804;1,431,363,764
89;33;1,949,390,007;151,851,394
92;36;1,963,787,827;1,556,302,501
